movement_id,product_id,movement_type,quantity_change,reference_id,movement_date,unit_cost,notes,_loaded_at
INV-0000023,PROD-0004,production_receipt,282,PRN-00045,2025-07-15,10.37,Receipt from production run PRN-00045,2026-04-28T19:39:28.654167
INV-0000024,PROD-0018,production_receipt,380,PRN-00046,2025-05-24,11.54,Receipt from production run PRN-00046,2026-04-28T19:39:28.654169
INV-0000025,PROD-0025,production_receipt,351,PRN-00047,2024-12-12,4.97,Receipt from production run PRN-00047,2026-04-28T19:39:28.654172
INV-0000026,PROD-0014,production_receipt,250,PRN-00049,2026-01-12,5.75,Receipt from production run PRN-00049,2026-04-28T19:39:28.654177
INV-0000027,PROD-0009,production_receipt,303,PRN-00050,2024-12-03,10.54,Receipt from production run PRN-00050,2026-04-28T19:39:28.654182
INV-0000028,PROD-0020,production_receipt,216,PRN-00051,2025-04-24,11.09,Receipt from production run PRN-00051,2026-04-28T19:39:28.654184
INV-0000029,PROD-0008,production_receipt,337,PRN-00053,2026-01-12,20.84,Receipt from production run PRN-00053,2026-04-28T19:39:28.654187
INV-0000030,PROD-0007,production_receipt,384,PRN-00054,2026-03-29,5.42,Receipt from production run PRN-00054,2026-04-28T19:39:28.654190
INV-0000031,PROD-0003,production_receipt,212,PRN-00055,2025-10-28,21.97,Receipt from production run PRN-00055,2026-04-28T19:39:28.654193
INV-0000032,PROD-0010,production_receipt,342,PRN-00059,2024-12-15,19.88,Receipt from production run PRN-00059,2026-04-28T19:39:28.654196
INV-0000033,PROD-0021,production_receipt,331,PRN-00060,2025-09-15,11.57,Receipt from production run PRN-00060,2026-04-28T19:39:28.654198
INV-0000034,PROD-0010,production_receipt,305,PRN-00061,2026-03-27,11.7,Receipt from production run PRN-00061,2026-04-28T19:39:28.654201
INV-0000035,PROD-0010,production_receipt,317,PRN-00063,2025-06-21,4.67,Receipt from production run PRN-00063,2026-04-28T19:39:28.654204
INV-0000036,PROD-0016,production_receipt,288,PRN-00064,2024-11-15,12.16,Receipt from production run PRN-00064,2026-04-28T19:39:28.654207
INV-0000037,PROD-0005,production_receipt,291,PRN-00065,2026-03-18,11.06,Receipt from production run PRN-00065,2026-04-28T19:39:28.654209
INV-0000038,PROD-0021,production_receipt,358,PRN-00066,2024-12-21,10.86,Receipt from production run PRN-00066,2026-04-28T19:39:28.654212
INV-0000039,PROD-0014,production_receipt,203,PRN-00067,2025-12-06,17.27,Receipt from production run PRN-00067,2026-04-28T19:39:28.654215
INV-0000040,PROD-0022,production_receipt,436,PRN-00070,2025-05-01,11.75,Receipt from production run PRN-00070,2026-04-28T19:39:28.654222
INV-0000041,PROD-0017,production_receipt,257,PRN-00071,2025-09-05,11.59,Receipt from production run PRN-00071,2026-04-28T19:39:28.654225
INV-0000042,PROD-0002,production_receipt,334,PRN-00072,2025-05-28,4.94,Receipt from production run PRN-00072,2026-04-28T19:39:28.654228
INV-0000043,PROD-0009,production_receipt,387,PRN-00073,2025-02-24,16.94,Receipt from production run PRN-00073,2026-04-28T19:39:28.654231
INV-0000044,PROD-0001,production_receipt,259,PRN-00074,2025-07-16,22.85,Receipt from production run PRN-00074,2026-04-28T19:39:28.654234
INV-0000045,PROD-0021,production_receipt,125,PRN-00075,2024-11-14,20.34,Receipt from production run PRN-00075,2026-04-28T19:39:28.654237
INV-0000046,PROD-0023,production_receipt,414,PRN-00078,2025-06-28,4.67,Receipt from production run PRN-00078,2026-04-28T19:39:28.654240
INV-0000047,PROD-0007,production_receipt,316,PRN-00079,2025-02-02,12.58,Receipt from production run PRN-00079,2026-04-28T19:39:28.654242
INV-0000048,PROD-0010,production_receipt,367,PRN-00080,2024-11-09,10.11,Receipt from production run PRN-00080,2026-04-28T19:39:28.654245
INV-0000049,PROD-0016,production_receipt,195,PRN-00083,2024-12-28,5.44,Receipt from production run PRN-00083,2026-04-28T19:39:28.654248
INV-0000050,PROD-0019,production_receipt,94,PRN-00084,2025-11-30,4.66,Receipt from production run PRN-00084,2026-04-28T19:39:28.654251
INV-0000051,PROD-0020,production_receipt,113,PRN-00086,2025-04-24,20.46,Receipt from production run PRN-00086,2026-04-28T19:39:28.654254
INV-0000052,PROD-0007,production_receipt,114,PRN-00087,2026-03-29,11.91,Receipt from production run PRN-00087,2026-04-28T19:39:28.654257
INV-0000053,PROD-0003,production_receipt,374,PRN-00088,2025-09-10,11.62,Receipt from production run PRN-00088,2026-04-28T19:39:28.654262
INV-0000054,PROD-0008,production_receipt,433,PRN-00090,2025-07-03,10.87,Receipt from production run PRN-00090,2026-04-28T19:39:28.654267
INV-0000055,PROD-0016,production_receipt,372,PRN-00091,2026-04-01,5.8,Receipt from production run PRN-00091,2026-04-28T19:39:28.654270
INV-0000056,PROD-0004,production_receipt,55,PRN-00092,2025-06-13,21.96,Receipt from production run PRN-00092,2026-04-28T19:39:28.654273
INV-0000057,PROD-0004,production_receipt,320,PRN-00093,2025-08-12,11.6,Receipt from production run PRN-00093,2026-04-28T19:39:28.654276
INV-0000058,PROD-0008,production_receipt,119,PRN-00095,2025-06-08,11.7,Receipt from production run PRN-00095,2026-04-28T19:39:28.654278
INV-0000059,PROD-0014,production_receipt,245,PRN-00102,2024-12-30,17.51,Receipt from production run PRN-00102,2026-04-28T19:39:28.654282
INV-0000060,PROD-0025,production_receipt,445,PRN-00104,2025-12-23,5.32,Receipt from production run PRN-00104,2026-04-28T19:39:28.654285
INV-0000061,PROD-0006,production_receipt,239,PRN-00105,2025-01-24,9.28,Receipt from production run PRN-00105,2026-04-28T19:39:28.654288
INV-0000062,PROD-0008,production_receipt,256,PRN-00106,2025-10-23,5.03,Receipt from production run PRN-00106,2026-04-28T19:39:28.654291
INV-0000063,PROD-0017,production_receipt,462,PRN-00108,2024-11-14,22.49,Receipt from production run PRN-00108,2026-04-28T19:39:28.654294
INV-0000064,PROD-0002,production_receipt,211,PRN-00110,2025-11-10,10.08,Receipt from production run PRN-00110,2026-04-28T19:39:28.654297
INV-0000065,PROD-0001,production_receipt,376,PRN-00112,2025-08-19,12.39,Receipt from production run PRN-00112,2026-04-28T19:39:28.654300
INV-0000066,PROD-0002,production_receipt,133,PRN-00113,2025-07-14,11.2,Receipt from production run PRN-00113,2026-04-28T19:39:28.654305
INV-0000067,PROD-0016,production_receipt,356,PRN-00115,2025-05-08,11.24,Receipt from production run PRN-00115,2026-04-28T19:39:28.654308
INV-0000068,PROD-0016,production_receipt,120,PRN-00118,2026-04-03,10.58,Receipt from production run PRN-00118,2026-04-28T19:39:28.654313
INV-0000069,PROD-0017,production_receipt,78,PRN-00119,2025-11-14,11.49,Receipt from production run PRN-00119,2026-04-28T19:39:28.654316
INV-0000070,PROD-0005,production_receipt,68,PRN-00120,2026-03-11,5.1,Receipt from production run PRN-00120,2026-04-28T19:39:28.654319
INV-0000071,PROD-0008,production_receipt,235,PRN-00121,2025-11-26,10.96,Receipt from production run PRN-00121,2026-04-28T19:39:28.654322
INV-0000072,PROD-0004,production_receipt,283,PRN-00122,2025-04-30,5.29,Receipt from production run PRN-00122,2026-04-28T19:39:28.654325
INV-0000073,PROD-0020,production_receipt,93,PRN-00124,2025-01-02,19.7,Receipt from production run PRN-00124,2026-04-28T19:39:28.654327
INV-0000074,PROD-0011,production_receipt,119,PRN-00125,2026-01-07,10.52,Receipt from production run PRN-00125,2026-04-28T19:39:28.654330
INV-0000075,PROD-0017,production_receipt,81,PRN-00127,2025-02-24,21.29,Receipt from production run PRN-00127,2026-04-28T19:39:28.654333
INV-0000076,PROD-0002,production_receipt,77,PRN-00128,2026-04-12,22.54,Receipt from production run PRN-00128,2026-04-28T19:39:28.654336
INV-0000077,PROD-0006,production_receipt,173,PRN-00129,2025-11-04,5.37,Receipt from production run PRN-00129,2026-04-28T19:39:28.654338
INV-0000078,PROD-0015,production_receipt,48,PRN-00131,2025-10-11,16.49,Receipt from production run PRN-00131,2026-04-28T19:39:28.654342
INV-0000079,PROD-0010,production_receipt,48,PRN-00134,2024-12-03,5.66,Receipt from production run PRN-00134,2026-04-28T19:39:28.654347
INV-0000080,PROD-0023,production_receipt,422,PRN-00135,2025-01-13,5.38,Receipt from production run PRN-00135,2026-04-28T19:39:28.654350
INV-0000081,PROD-0001,production_receipt,166,PRN-00136,2024-12-12,17.29,Receipt from production run PRN-00136,2026-04-28T19:39:28.654352
INV-0000082,PROD-0005,production_receipt,443,PRN-00137,2026-02-11,12.08,Receipt from production run PRN-00137,2026-04-28T19:39:28.654355
INV-0000083,PROD-0004,production_receipt,409,PRN-00138,2026-01-10,22.36,Receipt from production run PRN-00138,2026-04-28T19:39:28.654358
INV-0000084,PROD-0023,production_receipt,389,PRN-00139,2025-08-06,22.06,Receipt from production run PRN-00139,2026-04-28T19:39:28.654360
INV-0000085,PROD-0016,production_receipt,119,PRN-00140,2025-05-28,10.82,Receipt from production run PRN-00140,2026-04-28T19:39:28.654365
INV-0000086,PROD-0012,production_receipt,246,PRN-00141,2026-05-05,5.79,Receipt from production run PRN-00141,2026-04-28T19:39:28.654368
INV-0000087,PROD-0012,production_receipt,346,PRN-00142,2025-09-12,9.69,Receipt from production run PRN-00142,2026-04-28T19:39:28.654371
INV-0000088,PROD-0014,production_receipt,73,PRN-00143,2025-07-08,9.57,Receipt from production run PRN-00143,2026-04-28T19:39:28.654373
INV-0000089,PROD-0019,production_receipt,83,PRN-00144,2026-03-25,11.69,Receipt from production run PRN-00144,2026-04-28T19:39:28.654376
INV-0000090,PROD-0024,production_receipt,79,PRN-00145,2025-07-31,20.02,Receipt from production run PRN-00145,2026-04-28T19:39:28.654389
INV-0000091,PROD-0009,production_receipt,248,PRN-00147,2024-11-17,10.38,Receipt from production run PRN-00147,2026-04-28T19:39:28.654392
INV-0000092,PROD-0005,production_receipt,190,PRN-00148,2025-06-16,5.81,Receipt from production run PRN-00148,2026-04-28T19:39:28.654397
INV-0000093,PROD-0012,production_receipt,281,PRN-00151,2025-04-19,5.31,Receipt from production run PRN-00151,2026-04-28T19:39:28.654400
INV-0000094,PROD-0011,production_receipt,252,PRN-00152,2025-10-27,10.45,Receipt from production run PRN-00152,2026-04-28T19:39:28.654404
INV-0000095,PROD-0004,production_receipt,215,PRN-00157,2026-03-23,20.6,Receipt from production run PRN-00157,2026-04-28T19:39:28.654407
INV-0000096,PROD-0003,production_receipt,128,PRN-00158,2026-02-21,5.03,Receipt from production run PRN-00158,2026-04-28T19:39:28.654410
INV-0000097,PROD-0009,production_receipt,129,PRN-00159,2025-01-02,4.8,Receipt from production run PRN-00159,2026-04-28T19:39:28.654412
INV-0000098,PROD-0019,production_receipt,367,PRN-00160,2026-01-23,10.64,Receipt from production run PRN-00160,2026-04-28T19:39:28.654415
INV-0000099,PROD-0013,production_receipt,59,PRN-00161,2025-06-06,11.64,Receipt from production run PRN-00161,2026-04-28T19:39:28.654418
INV-0000100,PROD-0013,production_receipt,291,PRN-00162,2025-05-11,20.11,Receipt from production run PRN-00162,2026-04-28T19:39:28.654420
INV-0000101,PROD-0017,production_receipt,200,PRN-00163,2025-11-24,12.27,Receipt from production run PRN-00163,2026-04-28T19:39:28.654423
INV-0000102,PROD-0016,production_receipt,53,PRN-00170,2025-07-21,9.52,Receipt from production run PRN-00170,2026-04-28T19:39:28.654427
INV-0000103,PROD-0008,production_receipt,342,PRN-00171,2024-11-20,10.19,Receipt from production run PRN-00171,2026-04-28T19:39:28.654430
INV-0000104,PROD-0011,production_receipt,287,PRN-00173,2026-04-27,20.28,Receipt from production run PRN-00173,2026-04-28T19:39:28.654433
INV-0000105,PROD-0005,production_receipt,448,PRN-00174,2025-09-06,20.43,Receipt from production run PRN-00174,2026-04-28T19:39:28.654437
INV-0000106,PROD-0010,production_receipt,180,PRN-00176,2026-04-04,22.1,Receipt from production run PRN-00176,2026-04-28T19:39:28.654441
INV-0000107,PROD-0010,production_receipt,454,PRN-00177,2025-07-02,9.32,Receipt from production run PRN-00177,2026-04-28T19:39:28.654443
INV-0000108,PROD-0014,production_receipt,257,PRN-00179,2025-10-09,20.27,Receipt from production run PRN-00179,2026-04-28T19:39:28.654447
INV-0000109,PROD-0008,production_receipt,116,PRN-00180,2025-10-21,20.24,Receipt from production run PRN-00180,2026-04-28T19:39:28.654449
INV-0000110,PROD-0016,production_receipt,200,PRN-00181,2025-01-30,20.0,Receipt from production run PRN-00181,2026-04-28T19:39:28.654470
INV-0000111,PROD-0012,production_receipt,98,PRN-00183,2025-03-13,15.22,Receipt from production run PRN-00183,2026-04-28T19:39:28.654483
INV-0000112,PROD-0008,production_receipt,227,PRN-00184,2025-02-28,20.48,Receipt from production run PRN-00184,2026-04-28T19:39:28.654487
INV-0000113,PROD-0024,production_receipt,82,PRN-00185,2025-11-15,20.83,Receipt from production run PRN-00185,2026-04-28T19:39:28.654490
INV-0000114,PROD-0008,production_receipt,368,PRN-00188,2025-02-16,5.29,Receipt from production run PRN-00188,2026-04-28T19:39:28.654493
INV-0000115,PROD-0015,production_receipt,127,PRN-00190,2025-02-05,10.11,Receipt from production run PRN-00190,2026-04-28T19:39:28.654496
INV-0000116,PROD-0004,production_receipt,274,PRN-00192,2025-06-18,11.81,Receipt from production run PRN-00192,2026-04-28T19:39:28.654499
INV-0000117,PROD-0008,production_receipt,230,PRN-00198,2026-03-09,10.36,Receipt from production run PRN-00198,2026-04-28T19:39:28.654505
INV-0000118,PROD-0017,production_receipt,316,PRN-00200,2025-08-27,20.64,Receipt from production run PRN-00200,2026-04-28T19:39:28.654510
INV-0000119,PROD-0003,sale,-1,ORD-001165,2025-11-20,29.32,Sale from order ORD-001165,2026-04-28T19:39:28.655229
INV-0000120,PROD-0013,sale,-2,ORD-001710,2025-03-14,56.82,Sale from order ORD-001710,2026-04-28T19:39:28.655237
INV-0000121,PROD-0017,sale,-1,ORD-001032,2026-02-10,100.26,Sale from order ORD-001032,2026-04-28T19:39:28.655244
INV-0000122,PROD-0003,sale,-4,ORD-001080,2025-07-27,29.32,Sale from order ORD-001080,2026-04-28T19:39:28.655249
INV-0000123,PROD-0018,sale,-1,ORD-001704,2024-09-09,7.1,Sale from order ORD-001704,2026-04-28T19:39:28.655255
INV-0000124,PROD-0015,sale,-2,ORD-000603,2025-05-24,94.37,Sale from order ORD-000603,2026-04-28T19:39:28.655261
INV-0000125,PROD-0006,sale,-5,ORD-000262,2025-09-19,86.82,Sale from order ORD-000262,2026-04-28T19:39:28.655267
INV-0000126,PROD-0004,sale,-5,ORD-000087,2025-07-14,34.71,Sale from order ORD-000087,2026-04-28T19:39:28.655273
INV-0000127,PROD-0015,sale,-3,ORD-000130,2024-08-15,94.37,Sale from order ORD-000130,2026-04-28T19:39:28.655278
INV-0000128,PROD-0021,sale,-1,ORD-001529,2025-07-06,144.26,Sale from order ORD-001529,2026-04-28T19:39:28.655284
INV-0000129,PROD-0015,sale,-4,ORD-000782,2025-12-26,94.37,Sale from order ORD-000782,2026-04-28T19:39:28.655293
INV-0000130,PROD-0005,sale,-1,ORD-000848,2026-04-04,110.81,Sale from order ORD-000848,2026-04-28T19:39:28.655301
INV-0000131,PROD-0017,sale,-5,ORD-000500,2025-10-30,100.26,Sale from order ORD-000500,2026-04-28T19:39:28.655309
INV-0000132,PROD-0020,sale,-1,ORD-000205,2025-09-11,48.52,Sale from order ORD-000205,2026-04-28T19:39:28.655315
INV-0000133,PROD-0014,sale,-4,ORD-001510,2025-05-18,75.23,Sale from order ORD-001510,2026-04-28T19:39:28.655320
INV-0000134,PROD-0012,sale,-1,ORD-001854,2025-07-21,87.8,Sale from order ORD-001854,2026-04-28T19:39:28.655326
INV-0000135,PROD-0022,sale,-3,ORD-001803,2024-10-02,132.92,Sale from order ORD-001803,2026-04-28T19:39:28.655332
INV-0000136,PROD-0014,sale,-3,ORD-001603,2026-02-13,75.23,Sale from order ORD-001603,2026-04-28T19:39:28.655338
INV-0000137,PROD-0012,sale,-2,ORD-000708,2024-07-15,87.8,Sale from order ORD-000708,2026-04-28T19:39:28.655343
INV-0000138,PROD-0009,sale,-1,ORD-000351,2026-04-25,109.4,Sale from order ORD-000351,2026-04-28T19:39:28.655349
INV-0000139,PROD-0002,sale,-2,ORD-000340,2024-05-23,60.12,Sale from order ORD-000340,2026-04-28T19:39:28.655355
INV-0000140,PROD-0014,sale,-4,ORD-000531,2024-09-22,75.23,Sale from order ORD-000531,2026-04-28T19:39:28.655360
INV-0000141,PROD-0003,sale,-4,ORD-000976,2024-11-21,29.32,Sale from order ORD-000976,2026-04-28T19:39:28.655366
INV-0000142,PROD-0003,sale,-4,ORD-000826,2025-08-08,29.32,Sale from order ORD-000826,2026-04-28T19:39:28.655371
INV-0000143,PROD-0005,sale,-4,ORD-001894,2025-04-21,110.81,Sale from order ORD-001894,2026-04-28T19:39:28.655376
INV-0000144,PROD-0015,sale,-3,ORD-000597,2025-07-27,94.37,Sale from order ORD-000597,2026-04-28T19:39:28.655385
INV-0000145,PROD-0008,sale,-5,ORD-000410,2024-12-22,92.47,Sale from order ORD-000410,2026-04-28T19:39:28.655390
INV-0000146,PROD-0019,sale,-3,ORD-001203,2024-07-10,108.79,Sale from order ORD-001203,2026-04-28T19:39:28.655399
INV-0000147,PROD-0009,sale,-2,ORD-000213,2025-08-13,109.4,Sale from order ORD-000213,2026-04-28T19:39:28.655405
INV-0000148,PROD-0022,sale,-1,ORD-000656,2026-02-06,132.92,Sale from order ORD-000656,2026-04-28T19:39:28.655410
INV-0000149,PROD-0023,sale,-4,ORD-001224,2026-03-17,108.17,Sale from order ORD-001224,2026-04-28T19:39:28.655416
INV-0000150,PROD-0004,sale,-1,ORD-001769,2024-07-06,34.71,Sale from order ORD-001769,2026-04-28T19:39:28.655422
INV-0000151,PROD-0018,sale,-4,ORD-000445,2025-08-21,7.1,Sale from order ORD-000445,2026-04-28T19:39:28.655427
INV-0000152,PROD-0019,sale,-5,ORD-001631,2025-11-29,108.79,Sale from order ORD-001631,2026-04-28T19:39:28.655433
INV-0000153,PROD-0004,sale,-3,ORD-001728,2025-05-01,34.71,Sale from order ORD-001728,2026-04-28T19:39:28.655439
INV-0000154,PROD-0025,sale,-2,ORD-000875,2024-07-06,17.74,Sale from order ORD-000875,2026-04-28T19:39:28.655447
INV-0000155,PROD-0021,sale,-1,ORD-000035,2026-04-24,144.26,Sale from order ORD-000035,2026-04-28T19:39:28.655453
INV-0000156,PROD-0017,sale,-3,ORD-001961,2026-02-01,100.26,Sale from order ORD-001961,2026-04-28T19:39:28.655459
INV-0000157,PROD-0019,sale,-2,ORD-000963,2024-12-27,108.79,Sale from order ORD-000963,2026-04-28T19:39:28.655467
INV-0000158,PROD-0019,sale,-2,ORD-000380,2024-08-10,108.79,Sale from order ORD-000380,2026-04-28T19:39:28.655473
INV-0000159,PROD-0002,sale,-1,ORD-000489,2025-04-26,60.12,Sale from order ORD-000489,2026-04-28T19:39:28.655478
INV-0000160,PROD-0010,sale,-3,ORD-000566,2025-07-05,146.54,Sale from order ORD-000566,2026-04-28T19:39:28.655484
INV-0000161,PROD-0020,sale,-2,ORD-000322,2026-01-09,48.52,Sale from order ORD-000322,2026-04-28T19:39:28.655490
INV-0000162,PROD-0006,sale,-5,ORD-001166,2025-12-07,86.82,Sale from order ORD-001166,2026-04-28T19:39:28.655495
INV-0000163,PROD-0009,sale,-4,ORD-000946,2024-06-03,109.4,Sale from order ORD-000946,2026-04-28T19:39:28.655500
INV-0000164,PROD-0018,sale,-5,ORD-000103,2024-11-21,7.1,Sale from order ORD-000103,2026-04-28T19:39:28.655506
INV-0000165,PROD-0015,sale,-4,ORD-001472,2025-09-13,94.37,Sale from order ORD-001472,2026-04-28T19:39:28.655511
INV-0000166,PROD-0021,sale,-1,ORD-001683,2026-03-28,144.26,Sale from order ORD-001683,2026-04-28T19:39:28.655517
INV-0000167,PROD-0014,sale,-4,ORD-000692,2025-02-18,75.23,Sale from order ORD-000692,2026-04-28T19:39:28.655522
INV-0000168,PROD-0025,sale,-1,ORD-000778,2025-12-20,17.74,Sale from order ORD-000778,2026-04-28T19:39:28.655528
INV-0000169,PROD-0004,sale,-5,ORD-000658,2024-05-17,34.71,Sale from order ORD-000658,2026-04-28T19:39:28.655533
INV-0000170,PROD-0012,sale,-4,ORD-001308,2024-10-25,87.8,Sale from order ORD-001308,2026-04-28T19:39:28.655541
INV-0000171,PROD-0002,sale,-1,ORD-000550,2025-11-18,60.12,Sale from order ORD-000550,2026-04-28T19:39:28.655547
INV-0000172,PROD-0003,sale,-1,ORD-000221,2025-09-07,29.32,Sale from order ORD-000221,2026-04-28T19:39:28.655552
INV-0000173,PROD-0019,sale,-2,ORD-001258,2025-10-29,108.79,Sale from order ORD-001258,2026-04-28T19:39:28.655558
INV-0000174,PROD-0002,sale,-4,ORD-001690,2024-08-09,60.12,Sale from order ORD-001690,2026-04-28T19:39:28.655564
INV-0000175,PROD-0008,sale,-4,ORD-000726,2024-08-24,92.47,Sale from order ORD-000726,2026-04-28T19:39:28.655570
INV-0000176,PROD-0018,sale,-4,ORD-001903,2024-09-30,7.1,Sale from order ORD-001903,2026-04-28T19:39:28.655575
INV-0000177,PROD-0013,sale,-3,ORD-001471,2024-05-12,56.82,Sale from order ORD-001471,2026-04-28T19:39:28.655583
INV-0000178,PROD-0012,sale,-4,ORD-000530,2025-11-10,87.8,Sale from order ORD-000530,2026-04-28T19:39:28.655590
INV-0000179,PROD-0004,sale,-5,ORD-001055,2025-02-16,34.71,Sale from order ORD-001055,2026-04-28T19:39:28.655597
INV-0000180,PROD-0011,sale,-3,ORD-000024,2024-12-16,138.98,Sale from order ORD-000024,2026-04-28T19:39:28.655604
INV-0000181,PROD-0016,sale,-2,ORD-000195,2024-09-05,138.18,Sale from order ORD-000195,2026-04-28T19:39:28.655609
INV-0000182,PROD-0019,sale,-1,ORD-001015,2024-06-13,108.79,Sale from order ORD-001015,2026-04-28T19:39:28.655615
INV-0000183,PROD-0007,sale,-3,ORD-000218,2024-05-09,61.76,Sale from order ORD-000218,2026-04-28T19:39:28.655623
INV-0000184,PROD-0003,sale,-2,ORD-001107,2025-09-12,29.32,Sale from order ORD-001107,2026-04-28T19:39:28.655629
INV-0000185,PROD-0018,sale,-4,ORD-001822,2026-03-09,7.1,Sale from order ORD-001822,2026-04-28T19:39:28.655634
INV-0000186,PROD-0011,sale,-1,ORD-001304,2024-06-11,138.98,Sale from order ORD-001304,2026-04-28T19:39:28.655640
INV-0000187,PROD-0015,sale,-4,ORD-001206,2025-05-01,94.37,Sale from order ORD-001206,2026-04-28T19:39:28.655645
INV-0000188,PROD-0016,sale,-2,ORD-001898,2024-12-24,138.18,Sale from order ORD-001898,2026-04-28T19:39:28.655651
INV-0000189,PROD-0021,sale,-4,ORD-001813,2024-05-21,144.26,Sale from order ORD-001813,2026-04-28T19:39:28.655657
INV-0000190,PROD-0005,sale,-4,ORD-001972,2024-04-29,110.81,Sale from order ORD-001972,2026-04-28T19:39:28.655663
INV-0000191,PROD-0006,sale,-3,ORD-000553,2025-01-07,86.82,Sale from order ORD-000553,2026-04-28T19:39:28.655669
INV-0000192,PROD-0019,sale,-1,ORD-001876,2025-10-04,108.79,Sale from order ORD-001876,2026-04-28T19:39:28.655674
INV-0000193,PROD-0013,sale,-2,ORD-000082,2024-08-22,56.82,Sale from order ORD-000082,2026-04-28T19:39:28.655680
INV-0000194,PROD-0012,sale,-5,ORD-001234,2025-12-12,87.8,Sale from order ORD-001234,2026-04-28T19:39:28.655685
INV-0000195,PROD-0023,sale,-2,ORD-000498,2024-08-15,108.17,Sale from order ORD-000498,2026-04-28T19:39:28.655690
INV-0000196,PROD-0004,sale,-2,ORD-001185,2025-09-03,34.71,Sale from order ORD-001185,2026-04-28T19:39:28.655698
INV-0000197,PROD-0025,sale,-1,ORD-000407,2025-01-30,17.74,Sale from order ORD-000407,2026-04-28T19:39:28.655704
INV-0000198,PROD-0023,sale,-3,ORD-000379,2024-09-21,108.17,Sale from order ORD-000379,2026-04-28T19:39:28.655709
INV-0000199,PROD-0003,sale,-1,ORD-001669,2025-11-22,29.32,Sale from order ORD-001669,2026-04-28T19:39:28.655715
INV-0000200,PROD-0001,sale,-5,ORD-000797,2024-07-28,26.24,Sale from order ORD-000797,2026-04-28T19:39:28.655721
INV-0000201,PROD-0020,sale,-5,ORD-001222,2024-09-01,48.52,Sale from order ORD-001222,2026-04-28T19:39:28.655726
INV-0000202,PROD-0004,sale,-2,ORD-001946,2026-04-25,34.71,Sale from order ORD-001946,2026-04-28T19:39:28.655732
INV-0000203,PROD-0020,sale,-5,ORD-001383,2024-07-02,48.52,Sale from order ORD-001383,2026-04-28T19:39:28.655737
